job_title,education_level,industry,company_size,location,remote_work,experience_years,skills_count,certifications,salary
7,2,2,1,9,1,20,10,1,218579
5,0,2,4,3,0,10,18,3,70204
3,3,2,4,9,2,4,15,0,161083
5,1,2,4,3,0,15,8,0,74994
11,1,4,3,7,0,18,5,5,142604
6,3,7,0,1,0,16,13,2,219675
9,0,0,0,0,0,16,13,0,190142
8,1,4,1,5,0,17,6,2,138167
7,3,0,1,7,1,12,11,1,162515
1,0,5,3,3,0,8,19,1,94835
9,0,2,4,9,2,15,13,3,196487
9,0,9,3,8,0,5,14,3,150117
9,1,3,4,0,1,17,18,2,148544
9,3,4,2,9,2,7,7,5,205658
2,3,1,3,7,2,2,9,5,101884
0,0,7,3,9,2,5,5,3,177637
9,4,7,2,0,2,11,8,5,176562
1,0,4,0,5,2,18,1,0,161898
5,2,8,3,0,2,12,17,1,101042
8,3,3,4,6,0,11,10,1,119242
4,0,2,4,2,1,13,5,5,130835
4,2,7,3,2,0,10,8,1,119440
3,3,3,3,0,2,18,17,1,159349
1,1,3,4,8,0,8,10,2,123870
10,1,2,1,4,0,14,3,2,159299
5,3,1,1,2,0,7,14,1,128653
9,0,5,2,7,2,1,3,2,121177
6,1,3,2,7,0,17,19,1,145240
5,4,4,0,1,1,5,15,1,168506
6,0,9,1,7,2,13,8,4,161857
6,3,2,4,5,0,10,19,4,124898
5,1,7,1,9,1,17,16,2,180676
6,0,5,3,7,2,16,5,2,148766
3,4,0,1,4,2,17,1,0,191352
5,2,5,1,2,1,8,11,4,112183
8,0,4,0,6,1,4,9,0,112855
10,4,8,0,6,2,9,17,2,202647
2,2,6,2,1,0,4,16,4,106066
7,3,3,0,4,0,16,11,5,188438
3,0,2,2,9,1,18,14,5,223547
7,3,3,2,3,0,7,16,1,101510
5,3,8,4,2,0,11,6,1,110659
8,1,1,4,8,2,1,3,0,87317
0,1,9,3,1,0,7,5,4,159336
0,1,6,3,7,0,16,19,5,168801
0,0,0,1,7,1,15,4,5,183232
5,3,3,3,5,1,6,9,3,105562
3,3,9,0,8,0,16,18,4,235814
8,1,4,3,6,1,19,12,5,138491
7,0,5,3,7,1,9,1,0,113971
10,0,0,2,8,2,17,14,0,198149
8,3,1,1,2,1,19,18,3,182593
4,2,7,0,1,1,6,4,3,150984
10,4,0,3,5,0,2,3,1,128056
9,0,8,2,6,0,13,10,2,152566
3,3,4,0,1,0,4,17,5,202896
11,2,7,0,9,0,9,5,5,184371
9,0,2,0,3,1,5,6,5,111358
6,3,6,1,3,2,14,3,5,120084
11,2,6,2,5,1,11,10,0,113234
5,0,6,3,2,1,13,3,3,112891
6,1,6,2,9,1,18,3,4,183948
0,4,3,1,9,0,4,19,0,232503
1,2,2,0,0,0,4,14,4,133886
0,3,1,1,8,1,16,12,1,233749
0,1,5,4,2,2,1,1,4,128899
0,3,5,2,7,2,4,8,2,155337
2,3,6,2,3,2,1,19,3,79356
8,2,6,1,6,2,15,14,5,143333
11,3,6,0,2,1,16,12,1,206153
3,0,8,4,1,1,8,6,5,139402
8,4,3,3,3,2,17,10,4,104968
5,1,5,3,3,1,9,18,3,67669
2,2,3,3,0,1,3,7,1,73604
7,3,8,0,6,0,4,10,4,154068
6,2,7,2,4,2,9,1,3,113357
5,4,5,2,1,2,12,2,3,156771
8,2,3,0,9,2,2,16,2,152032
8,2,4,2,6,1,3,1,4,91548
0,1,4,0,9,2,13,2,2,239187
0,3,5,4,7,0,3,12,1,138343
1,0,6,4,1,1,18,18,5,167802
4,1,1,1,6,1,9,10,1,143223
8,2,7,0,4,2,18,16,3,177350
5,4,1,3,8,0,0,15,5,126726
7,0,8,3,6,0,14,3,5,139604
11,3,6,4,0,2,14,12,3,135184
2,1,2,3,9,2,14,14,0,151963
10,2,3,3,3,2,15,13,3,97505
9,1,3,4,4,0,17,16,1,149480
6,3,5,1,4,0,6,19,5,158217
9,1,6,4,0,2,15,4,4,144712
6,1,4,2,1,1,1,4,2,108854
0,1,7,2,5,1,20,1,5,177690
1,3,9,0,4,0,6,16,1,150158
0,0,0,3,9,2,4,6,2,164686
1,2,8,1,4,0,14,2,3,136347
0,2,3,3,9,2,13,5,5,194238
4,2,1,1,3,1,6,8,5,93908
6,0,8,4,5,1,20,19,0,147160
0,0,1,1,3,1,8,5,5,111115
9,0,0,4,0,1,10,16,5,138112
2,1,9,4,5,0,13,3,2,98538
2,4,7,4,5,0,15,16,5,131617
2,2,6,0,5,1,18,18,2,155135
1,4,9,1,6,1,7,11,5,154315
7,2,9,3,0,0,20,3,0,140143
7,4,1,3,9,2,20,19,1,237624
8,4,7,3,2,1,12,6,4,154098
7,3,5,3,8,1,19,7,0,174947
7,4,3,2,2,2,2,2,1,150807
4,3,8,4,0,0,15,16,1,144697
0,1,8,1,2,2,11,11,0,204145
1,3,9,4,0,0,7,4,5,111960
5,1,3,2,7,0,17,10,0,112875
11,3,0,1,0,1,20,19,2,179412
10,1,7,4,8,1,2,1,0,109363
5,2,9,1,3,1,5,6,0,60652
0,0,1,1,2,0,20,1,5,218334
7,1,8,3,8,2,10,7,3,140937
11,3,1,1,4,0,14,11,3,156685
6,1,4,2,9,1,7,3,2,144236
7,4,7,3,5,2,14,19,3,164730
1,3,3,0,9,1,5,16,0,201375
1,4,2,1,8,2,14,1,5,205536
4,1,2,2,0,2,19,13,0,162471
1,0,3,3,4,2,10,4,1,121572
3,4,6,3,0,2,5,19,2,142194
8,2,3,1,5,0,13,15,3,133099
9,1,5,2,4,1,12,4,4,144679
7,4,7,4,9,1,4,2,5,160760
8,0,1,3,1,1,1,2,0,101413
0,1,9,1,6,0,12,10,3,181107
8,1,4,2,7,0,16,8,4,126806
6,1,3,0,3,2,0,1,1,84955
11,4,3,1,2,2,15,10,0,192741
2,1,9,3,5,0,1,5,4,73074
4,2,8,3,2,1,11,15,2,129879
9,0,0,1,8,1,7,3,3,171973
0,4,1,3,8,0,9,9,1,183880
3,1,4,4,6,1,19,17,5,148571
9,0,7,2,8,1,13,18,5,196253
5,4,9,1,3,1,18,1,2,110672
11,4,9,3,9,1,15,9,4,193561
7,0,3,4,2,1,5,10,0,115609
0,4,1,4,8,0,0,8,4,152463
2,1,0,4,5,0,13,13,5,103625
5,1,6,0,0,0,13,5,1,120957
8,2,5,4,8,0,10,19,1,115689
3,1,8,0,5,2,16,2,4,180285
3,0,0,3,2,1,3,8,5,126545
5,0,4,4,4,0,17,18,5,116058
5,0,7,3,6,0,4,13,0,88095
7,3,4,2,2,0,13,14,2,175811
5,2,0,1,9,0,0,16,4,109122
2,0,2,0,1,0,20,5,4,195139
3,3,9,3,8,1,8,6,1,140100
9,0,6,2,3,2,6,5,4,103189
1,4,3,2,6,1,18,10,2,167309
3,1,9,0,5,0,10,18,3,176454
6,1,7,1,0,2,10,3,4,147490
11,2,3,0,7,0,17,13,2,166782
0,3,7,2,2,0,19,4,2,200163
10,1,2,0,4,2,8,17,1,172936
0,3,9,0,6,0,15,18,4,230059
8,0,2,2,0,0,14,8,4,126343
9,3,7,0,3,1,6,16,2,121979
6,1,0,1,1,2,3,11,3,151786
3,3,9,1,0,1,3,15,2,144072
5,2,6,3,2,0,13,7,2,104570
1,3,2,1,2,1,18,1,3,183014
7,4,7,2,3,1,20,3,4,128793
1,4,1,3,3,2,7,2,3,90842
9,2,5,4,9,1,3,19,2,141337
0,4,5,1,3,0,13,8,5,146308
0,3,4,4,4,0,4,13,1,129607
8,3,8,1,6,0,5,8,5,121516
9,2,1,4,2,1,16,8,5,152685
7,4,8,1,1,2,9,3,5,208619
5,0,5,3,4,0,11,3,2,94510
2,1,9,3,2,2,20,1,3,126548
11,3,8,2,0,1,12,4,5,139551
10,3,4,2,0,0,16,18,5,177034
9,1,3,4,3,0,15,14,1,96901
3,2,5,0,9,1,3,2,5,162856
8,0,1,2,6,1,9,7,1,116103
11,3,0,4,5,0,11,13,3,133408
5,2,9,3,9,0,5,9,5,107918
1,2,3,0,2,0,11,10,5,162203
8,3,8,4,9,0,3,15,1,129172
10,0,3,1,2,0,12,8,2,175371
5,3,2,4,5,2,7,15,1,110685
0,3,1,0,4,2,2,4,0,179983
7,3,3,2,7,2,13,13,5,165854
11,1,9,4,4,1,13,11,4,121386
1,2,0,1,9,0,5,19,3,153193
11,2,0,3,3,0,5,5,1,66077
2,2,1,1,1,2,7,1,5,123788
8,4,2,4,3,2,3,9,4,84226
6,4,4,4,9,0,6,5,3,172326
11,2,4,4,4,1,2,17,4,94075
5,0,5,1,1,2,6,18,5,148963
5,2,7,2,8,1,9,11,2,99432
8,2,4,3,3,2,6,4,0,51997
8,1,4,0,0,0,10,6,1,127116
11,0,1,3,6,0,17,3,1,128253
4,3,1,2,2,1,13,5,5,169165
5,1,2,1,4,1,3,14,0,92156
7,0,8,2,1,1,18,14,3,190214
1,2,2,1,0,1,11,1,3,122632
11,1,5,0,9,2,15,9,2,216637
3,3,0,3,0,0,9,1,0,119823
7,0,2,3,6,2,7,5,2,115373
11,2,5,0,8,2,10,18,5,188502
1,3,2,0,8,2,16,2,5,213033
1,1,8,1,1,2,4,13,5,154143
7,4,2,0,4,1,17,11,1,204091
11,4,7,3,1,1,13,14,1,172920
3,4,1,3,1,1,9,2,4,176290
8,2,5,3,8,0,13,15,3,133420
5,1,3,0,7,1,14,11,3,140253
7,3,6,0,4,2,3,17,0,158386
7,3,2,1,8,2,3,6,5,173127
9,0,0,4,4,0,16,13,5,141981
