job_title,education_level,industry,company_size,location,remote_work,experience_years,skills_count,certifications,salary
0,0,9,4,1,0,11,7,3,164009
7,3,4,3,3,0,7,14,1,79594
8,0,7,4,3,2,10,2,5,74090
0,0,4,2,2,1,8,9,4,177193
11,1,7,1,6,0,2,12,4,120012
3,2,1,0,1,0,9,2,2,163369
8,4,1,2,6,2,0,5,1,111889
10,2,9,3,3,1,5,5,0,75418
5,0,3,3,5,0,11,1,3,103067
0,4,8,4,2,1,16,9,1,190692
7,4,0,1,3,0,7,17,1,114616
6,1,3,0,8,2,18,13,4,213768
2,3,2,2,0,2,12,14,2,126256
2,0,4,4,5,0,12,14,3,99105
0,4,1,1,9,0,19,3,4,277977
1,3,3,4,2,2,20,5,0,153683
5,4,6,0,9,2,20,13,0,235839
1,3,8,2,2,1,10,11,3,149179
9,0,9,3,0,0,6,11,2,130145
0,0,3,2,5,0,15,11,4,171868
9,0,4,1,4,2,11,19,1,176316
0,1,9,1,4,2,1,12,1,151573
2,2,6,2,3,1,15,16,5,85155
4,4,9,3,9,1,13,17,5,211079
1,3,8,0,8,2,11,5,5,193655
8,4,4,1,8,1,8,16,4,174809
11,0,0,4,6,2,2,17,4,110007
9,1,9,4,7,0,5,16,0,125885
0,0,9,0,8,2,8,1,4,210860
2,4,2,4,7,0,5,19,2,112184
7,0,8,1,0,1,16,12,4,174141
10,2,7,1,5,0,10,5,3,136760
0,3,9,0,1,2,2,7,1,215145
0,4,5,3,8,0,20,5,2,217694
1,3,5,3,2,1,20,8,2,160372
9,4,3,3,0,1,6,8,2,150228
2,3,7,3,4,0,11,11,1,109413
5,1,0,3,9,2,11,17,1,139571
8,0,3,2,7,2,6,6,2,103811
11,2,8,1,1,1,7,10,2,147598
3,3,3,2,5,0,1,1,1,110254
10,3,0,1,5,1,2,1,0,130462
0,3,1,1,7,0,2,10,2,162248
4,3,6,1,5,1,12,19,3,177206
7,3,3,0,5,0,14,10,1,178303
7,1,1,3,6,0,7,1,4,115045
1,0,9,2,1,2,12,8,4,157499
2,2,0,1,9,1,18,9,4,177966
3,1,5,4,3,2,11,3,4,85243
2,1,6,3,2,2,2,19,3,94452
