job_title,education_level,industry,company_size,location,remote_work,experience_years,skills_count,certifications,salary
10,4,5,0,1,0,5,17,2,222002
11,1,4,4,9,1,4,10,2,122494
2,4,5,4,0,1,7,14,0,107630
5,4,6,1,5,1,18,1,4,154342
6,3,5,3,8,1,14,17,2,179782
11,3,4,2,4,2,4,14,5,128137
10,4,9,1,6,0,3,15,4,166883
5,1,8,2,4,0,1,3,0,67655
1,3,6,0,7,1,0,8,1,130262
8,0,9,0,8,2,14,10,1,181616
0,1,1,4,1,0,13,18,2,188594
11,1,3,3,4,0,14,1,2,112494
10,2,5,1,3,2,2,4,0,79720
3,4,0,3,9,2,2,2,4,165727
2,0,6,4,0,1,17,10,4,124627
7,2,3,3,9,1,15,13,1,166196
8,3,0,0,2,1,15,6,1,173306
9,3,7,2,4,1,10,12,4,158240
2,0,0,0,9,1,5,14,5,164373
3,2,7,2,4,1,13,7,1,138327
11,4,1,2,4,1,0,17,5,130268
3,3,4,2,5,1,7,9,2,148113
5,0,2,2,6,1,16,12,5,126467
3,4,1,0,7,1,1,19,3,171570
0,0,1,2,5,1,15,19,4,180542
0,3,0,1,5,2,12,5,3,183115
10,1,2,2,4,0,16,1,0,152259
3,0,2,4,8,2,11,14,1,148523
11,4,4,3,3,1,2,16,4,100958
8,0,2,3,1,0,16,3,0,143732
6,2,8,4,6,2,10,19,0,121127
9,1,6,2,6,1,12,3,0,131151
11,1,8,1,6,2,20,1,5,159036
1,4,0,0,9,2,19,11,1,270014
4,2,3,2,0,0,17,19,2,149366
11,2,4,3,0,0,3,15,4,98185
9,0,1,0,0,1,2,5,1,147033
1,0,8,0,5,1,4,12,0,137710
6,0,0,2,1,1,12,17,2,170542
1,2,3,1,6,2,8,14,4,139172
4,1,3,0,8,2,5,11,4,175300
10,4,2,1,0,2,14,14,5,198367
7,0,8,2,1,2,10,17,1,172539
8,4,5,1,7,0,1,10,4,126964
7,2,1,2,8,0,5,6,0,118153
10,3,6,2,9,1,1,4,0,145156
0,4,3,1,6,2,1,3,4,166826
5,4,5,0,3,0,12,11,2,113959
7,0,8,2,4,1,9,12,5,127271
2,1,3,0,8,1,8,13,4,147521
7,1,6,1,3,1,14,2,0,110762
6,0,9,0,0,0,2,19,2,148145
1,1,2,2,6,1,8,12,0,111916
7,3,4,4,6,0,6,12,4,120758
7,2,2,0,2,0,2,6,3,131120
6,2,6,0,0,0,11,8,4,152096
10,1,9,4,4,1,14,5,1,134686
5,1,9,3,2,2,2,1,0,76900
6,0,6,0,6,1,1,9,0,128564
4,2,0,2,3,1,18,19,0,101453
0,3,4,3,2,0,12,4,3,180995
5,1,5,0,6,0,0,8,1,82750
0,1,0,2,9,0,3,10,3,180209
0,4,9,3,7,1,4,18,3,162633
11,4,8,2,1,2,9,18,1,192083
5,1,0,4,1,0,13,5,2,111924
10,2,0,3,3,1,12,1,1,86149
2,0,8,4,7,2,5,10,2,91361
0,2,7,0,8,1,6,11,0,189903
5,0,2,2,3,0,10,10,0,69930
0,0,2,4,8,2,7,1,1,151626
6,2,5,4,2,1,17,1,1,118426
8,0,3,3,3,1,10,10,3,79726
2,3,4,0,3,2,12,19,3,115491
4,4,5,4,0,2,13,4,0,130782
6,1,6,2,6,1,3,10,5,105417
3,0,2,3,3,1,11,2,5,87680
5,4,7,3,7,2,2,16,0,108868
2,2,2,3,9,2,1,16,1,99402
8,4,1,1,7,2,12,11,1,155297
3,0,0,0,7,0,15,19,5,189887
7,0,6,4,1,1,20,3,3,164709
8,4,2,1,0,2,10,16,2,158290
8,2,3,1,7,2,20,3,2,136128
3,2,6,0,3,1,5,16,2,94661
9,2,3,3,8,1,16,7,4,168783
4,4,7,3,3,2,5,10,4,95778
6,0,0,4,7,0,8,19,4,120819
4,1,5,4,7,0,8,12,5,116656
11,3,7,3,7,1,16,5,5,133047
5,1,3,0,0,1,8,14,3,128662
11,4,6,2,8,0,18,3,1,186009
11,0,5,4,5,1,20,5,2,129017
3,3,7,2,5,0,2,15,3,127716
0,0,8,3,9,1,9,18,3,194380
