CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,NOx
2.142522,1311,233.426724,18.9,1267,524,113.096025,1941,1662,31.4,34.5,1.5599,241.724316
2,1084,233.426724,12.1,1052,736,130,1677,882,33.4,24.7,1.2516,136
1.5,1071,233.426724,5.5,787,755,170,1146,947,3.8,83.8,0.6771,290
4.3,1357,233.426724,21.2,1330,511,182,1414,1798,10.4,42.3,0.5337,605
2,1054,233.426724,12.6,1069,785,106,1766,817,36.1,22.7,1.3324,112
6.5,1728,233.426724,35.9,1683,419,188,2365,1861,25.4,47.9,1.5346,623
3.1,1472,233.426724,21.1,1327,497,101,1895,1516,25.2,49.5,1.5665,323
1.3,943,233.426724,3.9,703,950,119,870,581,4.3,48.6,0.4069,169
3.5,1266,446,14.6,1138,726,129,1747,1370,14.1,49.6,0.7931,205
1.1,1067,93,4.3,727,1055,82,1448,903,11.4,71.8,0.9671,91
2.7,1190,233.426724,10.6,1000,624,202,1152,1280,7.7,42.1,0.4440,485
3.2,1416,511,21.9,1348,684,126,1969,1330,27.7,26.5,0.9693,169
1,949,62,3.7,694,1160,68,1310,772,9.3,64.3,0.7531,61
1,901,233.426724,6.5,834,1177,103,1408,738,20.1,35.0,0.8149,102
3.6,1258,233.426724,14.9,1144,558,189,1336,1509,8.9,52.5,0.5996,414
4.6,1229,233.426724,21.9,1348,565,113.096025,1830,1445,39.3,16.0,1.1138,241.724316
5.2,1555,233.426724,24.3,1410,464,127,1971,2185,21.7,62.9,1.6117,532
4.2,1423,233.426724,21.0,1323,496,115,1727,1568,10.3,80.3,1.0020,803
4.2,1102,233.426724,17.4,1221,609,212,1136,1329,10.7,19.9,0.2547,484
2.5,1197,233.426724,11.7,1040,530,136,1519,1147,18.0,57.9,1.1826,321
2.5,1306,111,10.2,987,1004,124,1554,1078,17.6,35.1,0.7012,138
4.4,1488,233.426724,21.4,1336,479,211,1483,1985,5.1,64.3,0.5697,999
1.4,1052,233.426724,5.1,766,1031,81,1302,796,13.8,80.4,1.2621,169
2.3,1037,233.426724,11.2,1021,747,113.096025,1451,786,31.7,20.3,0.9336,241.724316
2.7,1136,233.426724,10.6,1001,653,155,1216,1192,4.5,76.6,0.6534,497
2.2,987,233.426724,7.6,883,913,144,949,1013,5.6,42.0,0.3856,343
0.8,1049,233.426724,7.2,864,818,145,1010,1327,5.9,47.8,0.4459,267
1.4,1039,233.426724,5.2,774,786,133,949,1173,7.7,41.7,0.4387,227
3.7,1355,233.426724,19.7,1289,678,88,2158,1391,21.0,66.9,1.6436,221
2.142522,1204,233.426724,13.9,1114,686,113.096025,1807,1092,24.8,61.6,1.9067,241.724316
1.3,934,233.426724,8.3,911,857,64,1639,863,18.6,56.0,1.1865,85
3.1,1170,233.426724,18.6,1257,693,180,1956,1069,35.6,23.4,1.3410,185
0.8,921,233.426724,2.8,642,861,88,948,768,10.5,48.7,0.6164,120
1.9,1217,233.426724,8.5,921,589,154,1336,1261,13.5,63.8,0.9797,257
3.8,1224,233.426724,21.8,1347,602,176,1670,1901,26.4,26.4,0.8969,483
-200.0,864,233.426724,0.8,478,1116,43,958,489,11.8,56.0,0.7743,52
2.8,1445,148,10.9,1009,878,114,1696,1355,16.9,46.1,0.8789,176
1.3,906,233.426724,6.6,838,1084,88,1547,694,23.7,36.8,1.0609,117
2.142522,1033,233.426724,10.8,1006,749,121,1564,725,39.1,18.7,1.2884,96
3.1,1472,233.426724,18.2,1246,512,87,1873,1455,28.1,45.3,1.6957,306
2.142522,840,233.426724,1.6,552,1152,113.096025,893,510,8.5,46.7,0.5191,241.724316
1.3,955,233.426724,3.6,687,895,180,1004,706,2.8,83.9,0.6326,277
1.1,794,233.426724,3.6,687,1100,104,826,611,7.4,34.6,0.3576,170
0.8,886,233.426724,2.8,641,1082,67,1098,783,14.1,60.6,0.9715,146
1.6,1125,233.426724,9.6,963,713,70,1719,1179,26.9,46.1,1.6080,62
2.142522,998,233.426724,9.5,958,800,106,1484,677,36.4,16.8,1.0033,96
1.8,943,233.426724,4.1,714,898,131,868,609,10.3,32.9,0.4131,191
2.142522,1358,233.426724,23.4,1389,516,113.096025,1886,1525,27.9,38.0,1.4029,241.724316
1,919,233.426724,4.5,737,899,63,1534,611,25.1,55.7,1.7471,49
0.7,954,233.426724,3.1,660,938,113.096025,1342,728,23.7,49.2,1.4195,241.724316
4.3,1391,233.426724,21.5,1338,509,183,1514,1816,11.5,60.9,0.8249,729
1.3,1011,233.426724,4.4,732,830,147,944,826,8.7,42.5,0.4787,236
1.7,1100.524233,222,-200.0,938.447755,832.57092,72,1453.531792,1024.248555,18.240418,49.181414,1.016622,99
1.5,943,233.426724,5.1,770,856,147,959,583,19.3,24.7,0.5483,222
2.3,1059,233.426724,8.2,907,879,102,1579,970,13.8,64.7,1.0168,145
2.142522,1100.524233,233.426724,-200.0,938.447755,832.57092,113.096025,1453.531792,1024.248555,18.240418,49.181414,1.016622,241.724316
1.4,1044,233.426724,9.8,970,715,39,1751,1068,31.8,38.9,1.8005,54
0.9,959,233.426724,6.0,812,961,78,1518,910,14.2,64.1,1.0346,77
2.2,1351,87,9.5,960,1079,101,1583,1028,10.5,60.6,0.7691,129
2.6,1171,233.426724,14.4,1129,631,120,1911,1346,33.5,36.0,1.8395,156
2.142522,934,233.426724,4.3,730,906,113.096025,1345,757,14.8,83.8,1.4005,241.724316
2.1,1100.524233,233.426724,-200.0,938.447755,832.57092,165,1453.531792,1024.248555,18.240418,49.181414,1.016622,266
0.3,709,233.426724,0.5,437,2559,27,787,324,12.0,37.3,0.5239,31
2.142522,853,233.426724,3.5,681,1031,113.096025,1368,457,29.0,34.1,1.3445,241.724316
1,883,233.426724,2.6,625,1069,70,997,630,9.2,55.9,0.6521,118
1.8,1111,233.426724,7.7,887,720,92,1262,1132,14.6,60.6,1.0033,244
1.2,1032,233.426724,3.6,688,1514,67,1200,737,15.6,66.6,1.1763,109
2.1,931,233.426724,9.9,972,868,132,974,953,11.9,21.3,0.2957,424
0.8,996,233.426724,2.5,620,820,62,1238,612,18.6,62.1,1.3224,91
6.1,1653,233.426724,31.0,1573,345,174,2147,1920,14.7,59.8,0.9928,723
1.5,882,233.426724,10.4,993,902,141,941,862,14.7,15.5,0.2586,302
-200.0,969,233.426724,5.5,788,854,139,938,1006,4.2,50.8,0.4234,224
1.0,884,233.426724,3.1,658,982,102,813,581,8.7,31.2,0.3521,126
2.3,1371,159,13.0,1083,796,116,1669,1551,14.8,53.9,0.9024,154
1.6,889,233.426724,9.0,939,920,102,1492,647,30.3,19.0,0.8103,99
1.1,914,63,3.1,661,1256,81,1187,478,14.2,38.2,0.6163,66
2.142522,991,233.426724,9.4,953,815,106,1616,924,29.1,33.1,1.3126,82
5.8,1476,233.426724,25.0,1428,477,235,1536,1974,5.6,52.9,0.4841,1049
1,1034,233.426724,4.2,719,858,86,1189,845,11.8,76.3,1.0547,153
2.5,1035,233.426724,9.6,961,726,204,985,1027,7.9,28.0,0.2999,374
4.8,1596,233.426724,21.6,1341,436,162,1672,1991,9.1,67.5,0.7831,830
1.8,1112,233.426724,6.5,833,759,156,1104,1180,6.6,61.3,0.5995,260
3.2,1324,233.426724,13.1,1086,692,113,1903,1189,19.3,63.1,1.4028,149
0.9,1044,233.426724,3.8,702,746,109,1099,1101,15.3,49.2,0.8493,165
1.5,975,233.426724,7.0,859,777,81,1043,1019,4.2,69.0,0.5737,177
2.4,1214,233.426724,9.9,972,663,98,1359,1280,12.8,73.8,1.0853,355
2.7,1377,233.426724,14.2,1123,578,94,1716,1223,29.4,42.9,1.7308,249
2.2,1140,233.426724,13.8,1109,714,107,1892,1123,24.7,47.7,1.4649,110
4.3,1140,233.426724,19.7,1289,634,162,1884,1390,27.3,27.1,0.9670,294
0.9,1042,66,3.8,697,1056,113.096025,1410,965,15.1,57.6,0.9796,241.724316
2.142522,1327,233.426724,19.7,1289,712,113.096025,1938,1272,25.8,29.9,0.9808,241.724316
2.2,1056,233.426724,3.3,672,769,87,1184,830,15.4,62.0,1.0793,116
5.9,1754,233.426724,37.4,1716,452,110,2667,1895,17.0,56.8,1.0909,333
1.7,905,233.426724,8.8,931,876,90,1460,776,28.3,21.3,0.8054,124
2.5,1198,233.426724,7.9,897,720,151,1072,1436,7.8,54.6,0.5786,402
1.4,1029,233.426724,3.3,670,800,87,1223,678,23.1,41.3,1.1506,154
1.1,1052,233.426724,4.5,740,768,142,913,1202,3.3,52.2,0.4074,237
1.9,1222,233.426724,8.6,924,612,121,1216,1147,17.3,34.5,0.6728,279
0.8,973,233.426724,5.8,802,806,70,1597,1139,23.6,51.5,1.4852,74
4.2,1100.524233,233.426724,-200.0,938.447755,832.57092,108,1453.531792,1024.248555,18.240418,49.181414,1.016622,136
3.4,1148,233.426724,17.5,1226,624,207,1126,1460,9.1,19.2,0.2225,579
2.6,1241,233.426724,10.9,1011,545,163,1428,1274,18.3,49.4,1.0264,395
1.5,882,233.426724,6.3,826,952,125,910,799,7.9,36.4,0.3889,280
2.142522,1053,233.426724,8.3,913,824,113.096025,1578,1033,19.7,70.3,1.5925,241.724316
0.5,976,233.426724,1.8,568,891,63,1143,705,15.0,64.8,1.1007,78
3.0,1086,233.426724,11.5,1032,717,202,1049,1136,4.7,38.3,0.3306,343
1.2,984,233.426724,4.2,724,810,118,1088,630,21.0,36.9,0.9089,185
3.1,1350,208,14.0,1118,912,122,1712,1237,13.2,41.7,0.6320,187
0.7,758,233.426724,3.3,670,1070,42,1365,688,16.6,56.8,1.0629,50
2.3,1347,233.426724,10.6,1000,510,115,1490,1450,18.4,60.2,1.2623,369
2.142522,846,233.426724,2.2,598,1211,52,1332,669,16.3,51.4,0.9468,33
3.3,1272,233.426724,21.1,1328,567,108,2085,1463,19.6,54.3,1.2278,333
4.1,1499,233.426724,27.9,1501,469,97,2130,1565,20.8,64.3,1.5630,433
2.8,1130,233.426724,9.7,968,680,208,1102,1220,7.1,43.9,0.4433,467
2.142522,1123,233.426724,8.9,937,866,113.096025,1606,941,13.8,59.8,0.9398,241.724316
2,1268,233.426724,8.6,926,645,122,1247,1628,9.1,69.6,0.8045,281
2.142522,1181,233.426724,14.2,1124,597,113.096025,1606,1302,17.6,65.9,1.3175,241.724316
0.8,971,233.426724,4.2,722,876,35,1624,687,25.0,60.7,1.8920,39
3.6,1100.524233,233.426724,-200.0,938.447755,832.57092,174,1453.531792,1024.248555,18.240418,49.181414,1.016622,487
2.0,967,233.426724,6.0,811,863,168,911,909,4.5,39.9,0.3390,243
7.6,1973,577,38.4,1737,617,194,2414,2306,23.1,26.5,0.7403,411
2.142522,1298,233.426724,16.1,1181,644,113.096025,1962,1256,20.9,73.3,1.7870,241.724316
3.6,1385,233.426724,22.1,1354,490,114,1823,1506,21.7,53.1,1.3649,455
0.9,976,233.426724,6.6,840,844,50,1562,964,19.4,75.4,1.6802,180
1.7,1037,233.426724,7.8,890,765,113.096025,1408,735,30.7,30.7,1.3338,241.724316
2.142522,1559,233.426724,32.1,1599,498,113.096025,2374,1704,21.8,61.8,1.5966,241.724316
0.7,852,233.426724,4.5,739,1095,63,1525,837,19.6,54.8,1.2360,37
