CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,NOx
6.5,1633,210.789238,35.3,1671,398,149,2271,1852,20.8,64.0,1.5522,761
-200.0,956,210.789238,4.4,735,915,121,942,945,3.1,53.5,0.4123,189
1.4,1062,210.789238,6.2,822,764,113,1228,917,13.4,61.3,0.9379,224
4.1,1407,210.789238,19.8,1292,643,155,1638,1694,16.9,54.2,1.0371,679
3.4,1304,210.789238,17.1,1212,476,183,1585,1383,21.5,39.1,0.9914,444
0.7,862,210.789238,4.2,721,1329,66,1335,522,20.8,36.6,0.8878,72
2.0,1008,210.789238,7.1,861,839,160,977,943,8.3,38.5,0.4228,331
1.2,945,210.789238,3.9,707,963,97,1005,657,8.8,50.9,0.5781,159
0.7,938,26,3.0,650,1251,71,1333,893,10.9,62.1,0.8113,68
2.9,1315,210.789238,18.7,1261,535,88,1830,1554,22.3,60.6,1.6069,341
1.7,1233,77,6.3,827,1218,98,1446,860,10.8,58.4,0.7552,112
3,1246,210.789238,16.6,1197,566,119,1746,1278,21.9,61.8,1.6021,429
4.2,1326,210.789238,28.0,1504,510,122,1968,1609,15.1,59.0,1.0086,600
1.5,1066,210.789238,6.9,855,803,61,1712,929,33.4,39.9,2.0177,101
3.8,1473,210.789238,17.8,1235,468,164,1702,1519,21.0,49.8,1.2208,483
0.5,776,210.789238,0.5,445,1460,34,737,330,1.4,53.8,0.3687,37
2,1019,210.789238,7.4,874,1113,114,1235,905,14.5,56.5,0.9306,287
5,1569,798,20.7,1316,634,139,2054,1510,13.6,65.3,1.0136,249
2.5,1058,210.789238,4.8,753,764,121,986,1149,3.3,66.8,0.5215,210
1.9,1071,176,9.0,940,994,93,1449,756,17.6,30.1,0.6013,111
2.172036,1028,210.789238,3.5,682,1090,113.608264,1448,697,14.3,65.3,1.0594,254.681129
3.9,1264,210.789238,19.4,1279,631,120,2049,1223,17.3,62.6,1.2260,224
1.9,1160,210.789238,9.5,957,884,106,1637,861,24.5,32.3,0.9815,131
0.7,810,210.789238,3.4,674,976,45,1530,793,24.4,58.6,1.7714,32
1.5,988,210.789238,9.0,941,801,99,1399,1035,14.4,60.3,0.9802,361
5.0,1411,210.789238,20.5,1311,487,159,1589,1537,6.5,80.0,0.7789,707
2.172036,1414,210.789238,24.4,1414,478,139,1896,1588,25.9,42.8,1.4122,486
1.9,1084,210.789238,8.6,923,712,149,1085,1046,12.9,31.8,0.4707,312
0.3,876,210.789238,3.9,703,968,126,892,653,5.7,44.1,0.4063,235
2.172036,1046,210.789238,5.8,804,774,113.608264,1458,983,20.3,65.3,1.5321,254.681129
2.172036,1048,210.789238,11.2,1021,698,113.608264,1570,846,35.1,23.2,1.2884,254.681129
-200.0,1174,210.789238,8.7,926,674,157,1220,1020,5.4,78.2,0.7074,245
3.2,1153,210.789238,18.5,1253,815,155,1541,1381,28.3,9.9,0.3754,289
2.3,1106,211,12.5,1068,915,99,1535,874,19.1,26.2,0.5741,116
2.172036,861,210.789238,4.0,712,1004,113.608264,1197,718,15.1,56.9,0.9673,254.681129
1.0,963,210.789238,2.9,646,834,83,1181,846,14.7,66.4,1.1006,117
1.7,1014,210.789238,6.7,843,791,116,1297,866,16.9,56.5,1.0801,279
1.2,996,210.789238,4.0,710,1699,78,1182,783,16.3,59.7,1.0941,124
0.9,959,210.789238,5.5,787,830,54,1460,821,26.5,40.7,1.3873,45
1.1,1022,210.789238,6.1,817,835,69,1669,821,23.7,54.3,1.5731,64
5.8,1377,210.789238,36.1,1688,525,125,2746,1708,21.6,51.7,1.3130,376
1.4,1002,210.789238,6.9,854,818,71,1513,779,21.4,68.5,1.7261,104
1.8,1131,210.789238,8.8,932,854,86,1693,1048,19.4,54.6,1.2184,104
2.172036,1069,210.789238,13.1,1086,1064,113.608264,1536,1119,22.8,28.4,0.7804,254.681129
2.2,1151,210.789238,12.1,1053,623,93,1835,1152,30.2,43.2,1.8230,146
2.172036,872,210.789238,4.1,717,991,113.608264,882,592,12.7,28.4,0.4160,254.681129
2.172036,966,210.789238,12.1,1054,885,113.608264,1742,917,26.8,32.4,1.1263,254.681129
2.172036,1003,210.789238,5.5,787,850,113.608264,1518,636,34.6,30.1,1.6296,254.681129
1,948,210.789238,6.4,829,873,53,1638,937,25.2,47.8,1.5076,40
0.4,803,36,1.3,527,1513,25,1152,369,14.1,45.3,0.7247,17
2.3,1171,210.789238,10.0,978,637,138,1374,1092,12.5,63.2,0.9113,344
0.4,873,210.789238,0.9,485,1305,67,1083,512,10.7,80.7,1.0377,78
4.9,1097.930233,210.789238,-200.0,934.059034,838.841682,215,1447.214669,1019.471377,18.145841,49.195886,1.019597,641
1.6,1085,130,6.2,820,1060,81,1325,699,18.1,30.6,0.6295,99
1.2,935,65,3.3,672,1299,61,1183,415,19.6,27.4,0.6162,65
0.4,792,210.789238,2.2,599,1262,45,1235,564,13.5,50.1,0.7706,32
4,978,210.789238,11.5,1031,765,149,1066,968,7.9,37.1,0.3974,341
1.5,1051,95,5.7,798,1016,89,1455,876,9.0,76.7,0.8825,84
1.9,1065,210.789238,11.7,1038,805,107,1763,1026,26.5,38.6,1.3154,110
1,935,210.789238,4.2,724,936,49,1574,598,29.5,45.9,1.8662,43
4.5,1293,210.789238,14.6,1136,631,170,1365,1278,5.2,83.1,0.7411,542
1.2,1074,49,5.4,784,1098,88,1483,1040,14.8,60.6,1.0148,79
2,1120,173,12.0,1048,898,95,1560,870,25.4,24.2,0.7733,121
3.7,1461,210.789238,22.3,1358,474,112,2033,1603,26.8,49.1,1.7101,394
1.5,1095,210.789238,5.1,767,1050,76,1547,818,15.8,60.5,1.0805,74
1.3,965,210.789238,4.3,730,799,127,1038,652,16.1,41.5,0.7559,205
0.5,838,210.789238,2.8,639,963,48,1391,596,20.8,64.9,1.5710,72
3.6,1277,210.789238,23.4,1388,611,100,2241,1513,20.2,54.5,1.2777,254
2,1059,210.789238,11.9,1047,761,106,1549,841,29.6,28.6,1.1628,178
3.3,1016,210.789238,5.3,780,798,145,1004,1060,4.6,64.4,0.5525,255
2.4,1146,210.789238,10.2,985,650,206,1236,952,5.8,72.5,0.6718,304
1.4,996,210.789238,5.3,781,806,124,985,631,26.5,16.4,0.5594,177
2.1,1226,210.789238,6.9,853,725,129,1307,1029,13.6,68.9,1.0661,321
0.4,770,210.789238,2.0,586,1326,38,1392,527,20.8,48.5,1.1800,24
4.4,1449,501,19.5,1282,625,133,2100,1569,19.1,61.1,1.3345,254
2.172036,1053,210.789238,12.7,1072,733,113.608264,1495,832,20.9,40.3,0.9866,254.681129
0.2,779,210.789238,2.0,581,1204,22,1323,505,21.2,46.2,1.1482,13
3,1097.930233,210.789238,-200.0,934.059034,838.841682,99,1447.214669,1019.471377,18.145841,49.195886,1.019597,119
3.4,1301,210.789238,15.1,1152,525,219,1343,1151,25.6,21.7,0.7039,479
0.9,965,210.789238,3.7,692,927,52,1549,653,23.8,63.5,1.8495,45
3.8,1464,210.789238,20.9,1321,475,132,1794,1600,21.7,54.8,1.4024,514
2.172036,1062,210.789238,8.6,923,697,113.608264,1602,839,27.0,43.0,1.5118,254.681129
4.6,1352,210.789238,16.4,1191,570,169,1362,1796,11.6,51.2,0.6965,658
1.4,1034,210.789238,5.0,763,840,97,1192,761,15.0,57.2,0.9698,163
4.9,1516,210.789238,24.8,1423,455,151,1881,1688,16.7,67.3,1.2707,774
0.5,923,210.789238,1.8,567,994,62,1024,688,8.3,67.2,0.7382,66
0.5,894,210.789238,5.2,774,1239,83,1339,598,31.7,16.2,0.7450,65
1.4,1018,210.789238,13.1,1088,909,120,1677,795,30.3,22.8,0.9695,127
1.3,877,210.789238,6.7,844,1048,43,1193,669,21.1,27.7,0.6853,112
0.4,743,210.789238,1.0,502,1635,113.608264,1292,355,12.7,71.6,1.0486,254.681129
1.3,1157,210.789238,7.8,890,681,53,1549,1054,20.8,66.7,1.6201,154
3.1,1363,210.789238,16.4,1192,499,148,1501,1637,13.4,57.9,0.8895,531
2.8,1445,214,14.8,1141,857,110,1824,1252,23.8,31.3,0.9137,156
2.4,1156,210.789238,8.4,916,687,206,1055,1490,7.5,44.0,0.4564,463
2.5,1204,210.789238,10.0,979,639,202,1147,1326,10.9,34.9,0.4568,379
1.6,974,210.789238,5.3,778,832,168,905,782,9.4,32.7,0.3855,286
1.0,957,210.789238,2.8,641,1013,70,940,784,4.2,77.0,0.6439,95
0.6,996,210.789238,4.2,724,861,134,938,1067,1.3,63.1,0.4322,216
6.9,1776,461,27.4,1488,702,172,2333,1704,9.7,69.3,0.8319,383
3.9,1306,210.789238,15.4,1161,557,146,1407,1379,5.5,83.5,0.7619,646
4.2,1481,210.789238,16.7,1202,768,136,1639,1532,15.1,73.2,1.2440,699
3.1,1166,210.789238,14.5,1134,603,176,1227,1531,11.1,33.3,0.4384,514
9.5,1908,210.789238,52.1,2007,325,180,2775,2372,22.5,61.5,1.6579,952
0.7,866,210.789238,3.6,689,1138,45,1456,767,13.1,70.2,1.0554,57
1.4,874,210.789238,4.8,751,918,135,792,591,12.0,19.3,0.2716,199
1.4,1097.930233,210.789238,-200.0,934.059034,838.841682,102,1447.214669,1019.471377,18.145841,49.195886,1.019597,264
3.9,1388,457,21.6,1341,702,131,1955,1315,23.7,30.2,0.8718,177
0.7,900,66,2.7,635,1207,60,1307,836,11.1,63.2,0.8331,47
2.8,1245,210.789238,14.8,1143,569,128,1531,1406,15.9,62.7,1.1273,639
1.2,913,210.789238,6.4,830,980,82,1371,757,20.0,50.7,1.1724,173
1.1,970,210.789238,7.9,894,761,64,1649,756,32.5,40.6,1.9481,57
2.7,1159,210.789238,13.8,1110,671,101,1650,1094,17.6,60.8,1.2151,492
3.2,1214,210.789238,16.8,1203,580,129,1739,1308,20.7,58.6,1.4142,445
4.1,1259,210.789238,17.0,1211,559,188,1243,1531,9.4,36.7,0.4324,502
0.6,901,210.789238,2.0,586,993,89,979,510,13.7,47.4,0.7412,135
2.8,1374,210.789238,10.6,999,598,138,1316,1776,10.2,67.3,0.8373,379
2.2,1050,210.789238,8.2,909,742,206,1055,993,4.1,49.8,0.4117,342
1.3,1073,95,4.7,746,1072,84,1360,789,15.0,46.1,0.7833,73
2.7,683,210.789238,3.6,686,1240,121,702,627,12.2,14.0,0.1988,243
1.6,1160,210.789238,11.6,1036,622,62,1727,1023,23.2,63.9,1.7957,182
3.8,1214,210.789238,15.1,1153,612,208,1244,1626,8.2,40.5,0.4414,721
4.4,1448,210.789238,16.2,1187,471,217,1490,1814,16.9,40.3,0.7717,668
5.6,1562,210.789238,26.1,1458,458,197,1770,2021,12.4,64.8,0.9310,1056
4.9,1674,635,29.8,1547,539,95,2405,1665,14.8,61.3,1.0237,293
0.5,841,210.789238,1.9,578,1144,16,1464,463,27.7,52.5,1.9230,11
1.9,1054,210.789238,5.5,789,886,100,1254,864,14.2,71.7,1.1578,241
1.3,974,210.789238,7.0,855,836,67,1607,610,37.1,27.2,1.6844,53
2.172036,961,210.789238,3.0,654,925,113.608264,1084,755,9.5,70.1,0.8343,254.681129
1.5,895,210.789238,3.1,660,975,155,826,596,4.6,46.8,0.4001,238
1.5,952,210.789238,6.6,838,948,133,937,976,5.8,42.5,0.3937,268
2.8,1100,210.789238,12.4,1065,669,169,1072,1347,-0.5,45.9,0.2763,479
2.172036,854,210.789238,2.3,604,1090,113.608264,1317,625,23.7,38.6,1.1159,254.681129
2.172036,803,210.789238,1.3,531,1462,113.608264,1318,489,13.8,63.2,0.9952,254.681129
2.5,1075,210.789238,12.9,1079,764,117,1798,1111,24.4,40.0,1.2079,166
