CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,NOx
2,1182,-200,12.5,1066,818,106,1663,965,30.6,20.2,0.8719,121
0.6,881,-200,2.9,647,964,-200,1250,550,25.5,38.2,1.2296,-200
1.9,999,-200,5.6,793,817,110,1242,898,16.1,59.5,1.0811,204
0.4,941,-200,6.4,832,914,125,970,964,7.2,42.8,0.4356,234
1.9,1100,-200,8.5,919,678,194,1072,1191,0.6,65.0,0.4231,339
1.5,-200,-200,-200.0,-200,-200,89,-200,-200,-200,-200,-200,85
2,1209,114,7.1,863,882,108,1547,1084,13.7,66.8,1.0410,120
1.5,1124,-200,6.7,842,690,178,1180,981,3.4,84.5,0.6677,313
1.7,1000,-200,4.0,712,848,157,989,971,5.8,59.6,0.5523,270
1.5,972,-200,5.7,799,833,72,1425,825,19.7,68.6,1.5563,199
1.9,1108,-200,12.3,1061,685,133,1454,1315,21.1,44.8,1.1088,238
3.5,1351,465,17.0,1210,709,120,1783,1374,19.3,35.4,0.7824,195
1,958,-200,6.2,820,886,68,1452,530,39.1,20.7,1.4270,40
8.7,1704,-200,36.1,1689,402,242,1820,2480,7.1,50.3,0.5100,1070
2.4,1056,-200,12.0,1051,826,116,1758,1078,27.5,32.6,1.1760,163
-200,1233,-200,14.9,1144,575,-200,1436,1271,13.1,54.3,0.8167,-200
0.2,905,-200,2.5,620,986,90,904,598,4.0,56.8,0.4688,120
1.3,997,-200,5.7,797,812,64,1470,824,19.3,74.1,1.6391,169
4,1449,-200,19.8,1291,482,138,1580,1817,10.0,82.6,1.0163,718
0.8,849,-200,1.4,537,1148,82,757,460,4.6,39.0,0.3330,107
3.6,1380,-200,21.8,1345,493,92,1856,1419,20.0,69.0,1.5956,480
4.1,-200,-200,-200.0,-200,-200,137,-200,-200,-200,-200,-200,854
0.6,860,-200,1.0,497,1251,66,912,442,4.2,75.9,0.6311,72
2.7,1076,-200,12.9,1080,846,-200,1787,1070,21.1,48.1,1.1864,-200
1.7,1121,-200,10.9,1012,650,80,1436,1060,18.4,61.3,1.2854,254
-200,1105,-200,10.6,1000,847,-200,1573,1208,19.2,42.1,0.9273,-200
2.1,1120,-200,9.0,940,657,201,1245,917,6.6,71.1,0.6973,305
2.4,1168,-200,14.7,1138,585,5,1946,1336,27.7,52.5,1.9138,16
-200,1168,-200,8.3,911,715,-200,1517,969,27.4,41.8,1.5056,-200
