CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,NOx
4.1,1128,-200,15.4,1161,672,174,1163,1340,5.9,37.8,0.3528,480
0.8,897,-200,2.0,581,1184,-200,1181,636,13.6,82.8,1.2845,-200
1.7,1147,-200,10.8,1009,653,50,1589,1096,18.2,70.0,1.4519,279
1.1,-200,-200,-200.0,-200,-200,92,-200,-200,-200,-200,-200,155
3.4,1313,-200,17.1,1213,564,88,1789,1359,19.2,73.4,1.6192,536
0.8,823,-200,2.7,633,1228,-200,1103,366,33.0,17.5,0.8683,-200
2,1027,-200,7.7,887,927,97,1568,876,13.4,64.6,0.9864,133
-200,830,-200,3.7,696,1060,-200,1328,461,28.5,29.4,1.1298,-200
2.2,1002,-200,10.3,989,840,99,1358,1011,17.8,36.5,0.7366,279
5.4,1319,-200,23.8,1399,497,245,1458,1746,12.8,22.8,0.3364,757
1.1,900,-200,4.0,711,975,84,1153,736,12.7,71.0,1.0387,151
-200,1074,-200,9.0,939,1071,-200,1513,997,25.6,28.0,0.9088,-200
2.3,1168,-200,12.6,1070,667,116,1646,1102,25.1,50.5,1.5840,228
0.4,851,-200,2.5,618,1099,52,1351,642,21.1,59.9,1.4789,66
0.9,950,-200,3.5,680,936,106,914,1028,4.2,57.1,0.4743,181
4.8,1443,-200,20.9,1323,486,115,1760,1487,14.2,78.0,1.2540,757
-200,1650,-200,28.1,1506,424,-200,2093,1955,23.8,59.9,1.7376,-200
2.9,1201,-200,17.5,1224,701,146,1987,1532,25.1,43.0,1.3488,265
1.7,1091,-200,9.3,953,723,63,1688,853,39.6,24.3,1.7255,51
0.7,905,-200,2.4,615,885,68,1104,776,11.6,74.9,1.0224,95
-200.0,881,-200,1.9,578,1017,-200,876,607,5.8,59.0,0.5493,-200
2.7,1225,-200,15.2,1155,607,91,1738,1159,21.1,64.0,1.5795,379
1.5,1062,-200,7.5,880,719,62,1580,924,22.9,65.7,1.8148,161
0.9,925,-200,3.3,672,991,86,1154,709,16.1,55.4,1.0089,140
2.6,1175,-200,13.9,1112,628,110,1484,1212,16.5,54.6,1.0164,350
3.9,1250,-200,21.6,1339,616,152,2075,1383,31.3,27.3,1.2234,251
0.4,798,-200,0.6,452,1435,-200,699,280,3.9,48.1,0.3930,-200
2.3,1182,-200,9.2,947,643,144,1334,1210,13.2,64.5,0.9732,333
