job_title,education_level,industry,company_size,location,remote_work,experience_years,skills_count,certifications,salary
0,3,7,3,2,0,20,13,3,207003
4,3,3,3,8,2,18,16,3,182438
2,4,6,0,0,2,9,3,5,154519
8,3,9,1,1,0,15,5,5,188798
4,0,0,3,1,2,13,8,5,170247
4,4,9,2,0,2,3,13,1,143643
1,4,6,2,4,1,18,16,2,174051
3,3,7,3,2,2,18,14,1,167182
8,2,5,4,8,2,12,7,0,116855
11,4,4,4,2,0,14,11,1,164114
1,2,3,1,7,2,4,2,1,102370
0,3,6,3,2,2,7,11,3,174991
6,2,8,3,5,1,4,8,4,104566
5,4,3,2,5,0,17,18,2,150562
1,1,8,3,1,2,8,7,5,136170
0,2,7,2,0,2,20,8,3,175529
1,3,8,2,2,1,8,16,5,148529
0,1,4,0,9,1,20,16,5,289860
7,3,7,0,8,2,15,2,0,209212
1,4,1,1,1,0,2,18,4,174268
3,2,2,0,3,0,20,4,2,120362
5,3,0,4,0,1,5,14,5,107443
10,4,6,2,9,0,10,11,1,206871
3,0,1,2,7,0,6,9,3,126866
10,4,2,4,0,0,14,7,2,152875
2,3,0,3,1,2,5,8,4,122864
7,1,9,4,3,1,17,2,0,93123
6,3,5,1,2,0,9,2,0,153040
4,4,1,3,5,0,19,2,1,167399
4,4,5,4,0,1,19,3,0,154458
3,1,0,2,8,2,14,17,5,177887
6,1,5,3,7,1,9,10,2,115441
2,4,7,2,0,2,17,7,2,141557
1,4,1,0,9,2,9,3,1,215971
3,4,5,3,8,1,6,1,3,151884
5,4,0,4,4,0,17,1,3,117959
1,0,3,3,7,2,1,6,2,95280
1,4,5,1,7,2,17,4,0,174397
6,1,2,0,1,0,3,6,1,148275
7,4,6,3,1,0,0,1,1,136794
10,3,4,0,0,2,20,15,1,225248
9,2,3,3,6,1,2,15,4,116827
0,0,2,1,7,2,13,15,5,194955
11,2,3,2,8,2,20,18,2,175624
7,2,4,1,0,1,12,1,1,133421
1,0,1,4,4,0,16,14,1,119097
5,1,0,0,4,0,13,8,1,121380
0,0,5,1,0,1,20,16,2,200482
8,0,5,1,3,2,2,19,1,81685
8,4,7,4,0,1,6,4,5,114312
10,2,7,0,2,1,11,3,1,159577
1,0,0,3,5,1,12,10,2,124833
8,4,9,4,4,1,11,6,3,129525
3,4,6,3,1,0,14,17,4,199419
0,0,5,2,0,2,19,2,0,172122
3,2,1,4,7,1,1,4,4,92916
4,3,3,0,1,0,4,7,2,176424
8,4,2,4,2,0,5,2,2,121045
8,0,2,0,4,2,11,19,3,156954
2,0,0,0,9,2,9,12,5,183517
1,4,3,3,1,1,2,16,3,150033
10,2,1,1,1,0,2,2,2,137937
8,4,5,3,9,0,17,9,1,187065
6,1,0,2,8,2,12,14,2,166834
11,0,8,2,4,1,6,1,3,113347
3,0,6,2,4,0,2,5,0,100274
9,2,9,2,9,1,13,2,5,189463
9,2,3,1,6,2,20,3,2,174173
1,1,2,1,1,2,3,6,2,137945
8,3,0,3,8,2,0,16,1,119344
2,4,2,0,9,1,8,16,1,199687
2,1,5,1,4,0,19,9,4,136650
7,0,4,4,9,0,6,15,3,149898
2,4,5,0,7,0,20,13,3,185394
9,4,3,2,8,1,13,11,3,204688
6,0,5,1,1,0,18,5,1,194123
9,3,7,1,1,0,8,13,5,206913
8,1,0,2,3,2,3,15,4,68588
2,0,6,2,1,1,8,11,0,115185
5,1,5,4,6,1,6,12,5,91196
9,4,5,1,4,2,3,2,3,166557
8,1,4,4,8,2,15,5,4,138510
6,2,6,1,0,2,14,13,3,152862
11,1,4,0,0,0,4,9,2,126131
0,1,8,1,9,1,2,1,0,170880
3,0,6,4,1,2,4,9,4,142779
3,1,6,3,9,1,0,5,0,122404
10,4,9,2,5,0,16,2,4,179230
3,3,9,1,1,1,8,12,3,190345
3,3,4,2,2,0,3,9,5,145628
9,3,4,3,3,1,12,3,4,95955
9,2,8,0,5,1,0,17,0,129439
2,1,7,4,6,2,12,2,3,89028
11,3,6,1,1,2,12,8,2,186483
0,1,7,0,1,1,7,6,5,216286
0,1,4,1,5,1,9,11,4,172354
11,2,6,0,2,1,10,8,5,157054
5,0,3,2,5,1,1,13,5,88573
8,0,1,2,4,2,9,7,0,111835
11,1,7,1,7,1,11,4,5,144340
5,4,9,0,4,2,9,5,1,150345
8,4,5,2,7,0,6,5,5,118666
2,3,9,2,6,0,8,3,3,108557
1,0,0,3,3,2,20,7,0,99861
6,0,2,2,0,2,12,14,1,143448
9,2,2,1,4,0,8,4,2,139567
4,0,0,0,3,0,14,9,0,121487
1,4,4,1,9,0,14,9,5,220903
6,0,1,3,3,0,20,15,0,105498
3,0,3,0,1,1,8,4,2,183346
1,2,8,4,6,2,0,18,5,97162
6,3,1,2,8,2,2,19,3,153924
2,3,5,3,5,0,4,8,1,96385
7,0,0,1,5,2,5,14,0,137877
2,0,2,3,3,1,7,10,4,66245
5,4,6,0,2,0,16,11,3,201209
11,4,8,4,1,2,20,10,0,194717
6,0,9,2,6,2,0,19,3,129130
7,2,2,1,9,2,13,9,4,202413
8,4,9,1,1,1,7,18,3,186859
9,4,2,2,6,0,19,9,5,190898
0,0,5,0,9,2,15,5,5,279659
9,3,4,3,4,0,7,2,0,139621
7,0,6,2,7,0,13,4,3,131688
6,0,6,3,8,1,5,10,4,125313
4,2,4,2,4,1,5,3,2,97253
6,2,7,4,8,2,5,13,4,120021
4,3,1,1,4,1,20,2,2,174901
10,0,6,3,6,2,19,15,2,158422
11,3,2,1,1,1,4,12,5,162190
1,0,1,1,4,0,14,4,4,144056
0,2,7,0,2,2,19,9,4,228278
5,3,6,4,3,2,3,12,3,67008
6,1,8,1,3,0,0,15,4,83457
1,3,9,3,0,0,11,7,1,122481
9,4,5,4,3,0,19,18,2,122088
10,0,2,0,1,2,19,5,1,236562
2,3,8,2,0,1,9,17,0,124500
6,3,1,4,5,2,18,1,3,138665
7,1,9,2,1,2,12,8,0,164243
9,2,6,2,2,0,20,5,5,177459
10,2,7,3,7,0,15,7,2,142583
11,3,7,0,0,1,0,3,1,130093
4,2,0,1,5,2,5,9,2,129254
7,2,9,1,5,2,19,5,0,161025
