job_title,education_level,industry,company_size,location,remote_work,experience_years,skills_count,certifications,salary
4,4,2,4,5,2,14,14,4,156685
11,4,7,4,7,1,5,13,5,131552
2,0,0,3,5,1,19,3,5,123401
10,3,7,2,6,2,7,7,2,141887
11,4,1,1,6,0,11,19,0,172123
7,2,4,4,3,1,7,5,4,69612
6,2,7,0,1,0,3,19,3,165347
11,2,2,1,9,0,16,12,4,190251
4,2,5,2,8,0,3,4,4,114940
5,2,5,4,7,1,9,9,0,79572
11,2,6,1,6,1,12,13,1,132765
9,0,1,0,9,0,12,5,4,236052
6,3,3,4,5,0,6,11,0,112437
5,4,4,2,4,2,13,7,3,139681
6,4,1,0,2,2,0,18,1,174932
7,0,8,3,4,2,10,14,1,138342
0,4,8,4,6,1,13,18,0,170344
6,1,7,4,0,2,7,7,1,106798
2,0,2,1,2,0,17,18,4,151661
8,4,2,1,0,1,1,5,2,120607
5,0,0,4,4,2,8,17,5,111123
0,4,1,3,4,0,5,14,2,157315
3,2,4,2,7,0,18,12,3,150312
6,2,4,2,0,0,4,3,3,98387
6,2,2,3,7,2,4,18,5,114883
6,4,0,1,4,2,18,1,3,190998
2,4,1,1,4,0,9,9,3,138486
8,0,3,4,1,1,14,17,5,151847
10,2,7,0,0,2,20,18,4,210853
3,0,9,2,6,0,18,16,3,164673
6,2,0,2,0,1,13,9,4,135665
5,2,0,1,0,2,13,17,1,117099
8,3,7,2,7,2,7,5,4,131193
1,1,4,3,7,0,10,11,5,119829
7,2,7,3,9,1,6,19,2,151616
11,4,7,0,1,1,6,16,4,200717
4,1,0,4,9,0,0,8,2,113568
7,2,9,4,3,1,17,16,2,95317
2,2,0,2,0,1,19,15,3,131735
10,0,8,3,1,1,0,15,5,138869
8,4,2,2,8,0,16,18,2,187527
6,1,3,3,0,0,9,3,3,105868
5,1,3,4,8,2,0,3,3,80687
0,1,0,4,4,1,17,18,0,154472
1,4,0,1,3,1,10,9,3,117304
4,2,3,2,6,1,16,15,4,145873
11,1,8,2,4,2,3,8,2,105069
6,4,2,1,7,1,15,3,5,179331
2,4,2,0,5,1,1,11,1,125576
7,2,3,3,1,2,12,7,0,141602
0,3,8,2,1,0,2,16,4,181281
4,4,1,1,0,2,2,13,1,152093
8,3,9,4,4,2,4,3,2,94712
10,2,3,1,7,1,8,1,4,137231
5,1,2,0,5,2,13,1,1,123651
7,0,1,2,7,1,5,11,2,128231
0,3,8,3,5,0,13,5,5,163933
7,3,6,3,3,2,3,5,5,82916
7,4,4,2,2,0,9,15,1,169879
3,1,1,2,7,0,13,6,4,136926
10,0,3,3,3,0,5,13,2,87122
0,2,6,1,4,1,18,18,5,195310
8,2,1,3,5,1,19,11,2,133986
6,1,7,2,6,1,18,18,1,150947
9,0,5,0,2,2,9,18,3,204853
3,2,1,3,6,2,10,16,4,119859
0,1,3,3,7,0,8,6,1,136430
4,1,0,0,8,0,6,9,5,164312
7,0,4,3,8,2,13,12,0,157201
4,3,6,1,9,1,19,15,1,243815
8,1,5,4,5,0,20,11,0,121160
5,3,1,1,5,1,3,1,0,91636
9,1,4,1,5,0,4,10,4,144935
2,2,6,1,4,0,12,3,4,117390
5,0,5,4,8,0,9,11,3,108004
2,1,4,2,9,2,19,9,4,175186
11,0,4,3,8,2,14,19,1,161517
10,2,6,0,7,1,18,7,4,180002
