job_title,education_level,industry,company_size,location,remote_work,experience_years,skills_count,certifications,salary
8,4,5,4,1,0,2,5,5,128661
1,2,0,0,8,0,17,19,0,185799
3,3,4,0,5,2,20,4,0,205223
11,1,0,3,4,2,2,2,4,100160
9,1,5,4,7,2,1,18,2,114290
4,0,4,1,6,2,13,6,3,160242
1,0,5,1,6,0,20,3,1,161327
7,4,9,4,7,0,6,11,5,137429
7,3,7,1,0,0,10,1,5,159033
4,3,4,2,6,2,4,12,3,130777
6,0,7,1,3,1,7,9,0,92185
2,1,7,1,0,1,9,4,4,103329
10,1,3,3,7,2,10,4,0,126296
0,0,1,3,0,2,13,17,0,170133
3,1,4,1,3,0,13,6,4,110288
5,1,6,3,4,2,0,5,3,85173
1,1,6,2,3,0,15,14,4,97857
7,4,8,2,9,2,9,16,3,216324
8,2,9,3,7,1,1,5,0,78191
9,0,7,4,4,0,10,14,3,135793
9,2,4,1,5,0,15,8,4,158126
10,2,6,2,4,2,1,1,2,106608
9,2,0,4,4,2,1,14,0,110632
3,1,2,3,7,2,3,4,4,103751
6,1,6,1,8,0,17,6,4,179354
7,3,4,2,9,1,12,13,2,195311
3,2,1,0,6,1,8,1,0,131969
9,4,4,0,2,1,9,5,0,212296
7,3,2,4,3,1,14,16,1,98747
11,1,2,4,9,2,17,7,1,160473
10,4,5,1,8,1,1,11,4,171956
8,4,8,1,9,1,15,4,5,224000
6,2,1,1,7,2,15,15,3,158015
8,3,0,1,0,0,17,16,2,172474
5,2,1,0,6,0,18,13,3,143695
2,4,2,3,6,1,8,8,0,109263
4,1,0,0,8,2,0,7,4,150550
6,2,9,3,0,0,4,15,5,111523
4,2,6,3,0,1,11,4,3,128110
6,1,9,1,5,0,9,7,2,128447
9,0,4,4,8,2,9,14,3,165910
10,1,5,0,0,2,9,13,5,172717
1,3,6,0,1,2,4,8,0,167903
8,3,2,2,8,2,6,5,1,141410
7,1,3,1,6,0,10,18,4,154659
8,1,3,1,1,0,20,14,5,184678
5,4,6,4,9,0,3,9,3,125118
4,2,7,1,2,1,1,7,1,127220
0,2,0,1,4,0,7,18,4,171582
8,2,6,2,9,2,4,2,0,111424
2,4,3,4,2,1,4,5,1,93465
5,2,1,3,7,0,5,12,5,93699
10,4,7,4,8,1,16,6,4,187016
7,4,9,4,4,0,8,6,2,128609
4,1,5,4,6,2,11,16,1,112514
1,4,3,3,4,2,11,2,1,146802
9,3,8,3,0,0,9,3,2,143147
6,0,2,3,4,0,19,3,0,140496
8,4,9,3,1,2,4,13,0,156516
10,1,5,4,9,1,18,2,0,173539
7,0,0,0,9,2,3,18,5,205029
1,0,4,4,1,1,1,5,0,103563
7,1,0,3,7,1,11,10,5,130276
9,4,4,2,2,0,18,3,3,199814
7,3,9,4,2,0,3,3,3,123804
0,1,8,0,3,2,8,10,1,123552
0,3,1,4,8,1,12,16,5,179260
7,3,8,3,8,2,7,16,1,160363
2,4,3,0,5,0,15,5,0,164343
5,0,8,0,5,2,2,16,0,121011
10,0,2,2,5,2,16,13,1,150746
9,2,1,3,1,2,15,11,3,183748
5,2,7,4,8,0,17,2,5,117236
5,3,8,2,7,2,10,11,5,122393
1,1,4,1,0,2,0,5,0,106595
5,4,7,2,9,1,7,15,0,145013
8,1,2,0,2,2,3,16,3,141928
6,0,8,1,1,1,13,14,5,186751
11,0,3,1,7,0,17,12,4,169143
6,4,9,4,7,0,3,17,5,127954
1,2,7,0,6,1,5,8,3,120536
4,4,2,2,5,1,17,16,0,170421
2,3,2,4,8,2,9,17,0,135389
9,1,0,0,8,1,18,12,5,228810
11,3,6,0,8,2,6,10,2,181435
6,3,1,1,1,0,6,4,5,172436
9,2,7,0,6,0,8,13,2,163079
1,3,1,3,3,1,13,15,3,96225
5,4,8,0,1,1,1,7,3,145795
11,4,5,1,3,1,7,4,1,98858
8,3,1,3,6,1,4,13,1,109379
2,1,7,1,8,1,8,2,5,120771
8,1,1,1,6,0,19,19,3,153343
6,4,7,0,9,2,13,14,0,254350
1,2,4,3,0,0,2,1,4,86635
4,1,4,2,3,1,13,6,2,87527
4,1,8,3,4,0,18,10,0,144306
3,2,7,0,4,2,0,15,4,126331
3,2,6,4,9,0,6,7,1,133772
11,1,8,2,0,0,15,11,2,126914
10,2,1,4,0,2,1,15,0,107334
7,0,9,4,4,0,14,12,1,130403
4,0,0,2,4,2,0,17,3,120975
11,2,0,4,3,1,2,11,0,56827
8,4,6,1,8,2,18,7,1,209167
7,0,6,3,0,1,18,4,5,147057
6,0,7,1,4,1,15,3,3,161753
5,1,2,0,3,2,7,7,2,81841
6,2,9,2,6,0,9,4,0,102386
11,1,3,1,0,2,16,19,1,170156
9,2,4,4,2,0,1,7,4,113236
4,0,9,1,5,1,1,1,2,111035
8,2,0,0,7,1,20,8,1,153374
6,0,0,1,4,0,7,15,1,140373
8,2,7,2,7,2,6,8,4,101438
2,4,9,4,3,0,18,16,4,98907
5,0,5,0,6,1,12,6,0,124702
9,3,7,0,0,2,16,11,1,215368
4,4,4,3,3,0,19,10,4,128911
5,2,4,3,3,0,6,1,1,41404
5,4,3,1,9,0,19,19,2,222122
8,1,2,4,3,2,13,13,5,86520
8,2,6,2,0,2,16,11,4,123211
6,3,4,2,4,2,9,5,5,144537
8,4,0,1,7,2,7,13,5,155231
3,3,7,1,5,0,14,10,0,174511
8,1,6,3,0,1,9,11,5,105568
3,3,9,2,7,0,0,11,1,122851
7,0,2,2,7,1,7,14,4,135963
1,1,4,4,6,1,18,10,0,124538
1,3,9,0,3,1,9,16,2,115032
11,4,8,1,0,0,5,19,0,151097
4,0,3,3,7,1,4,17,0,117492
5,4,9,4,5,1,6,17,1,116613
11,0,0,3,4,1,3,10,2,95630
9,4,6,1,3,2,14,8,2,135263
8,1,0,1,4,2,13,19,5,144940
4,0,8,2,6,2,7,17,2,132800
7,1,6,3,5,2,1,11,1,107100
7,4,6,0,3,0,4,19,2,121207
8,2,5,4,9,1,4,17,3,113581
3,1,2,3,1,0,0,18,3,130554
6,3,4,2,0,2,16,19,3,164558
4,2,0,3,5,0,19,15,1,135903
10,4,1,4,2,0,9,8,3,160393
4,3,0,1,2,2,5,3,4,165349
9,2,8,2,6,0,11,16,4,149479
3,3,6,3,8,1,1,5,5,136496
2,3,1,0,4,2,14,12,2,166625
3,2,3,4,7,2,14,17,1,143643
2,2,5,0,9,2,18,19,5,210629
4,4,7,1,0,1,14,7,4,173096
